Team1,Team2,Over_Line,Over_Odds,Under_Line,Under_Odds,Time
Kang,Hilderbrand,32.5,-378.0,32.5,250.0,2024-10-07 22:53:18
butvilas,Bertola,18.5,-121.0,18.5,-116.0,2024-10-07 22:53:18
Wolf,Galarneau,24.5,-112.0,24.5,-120.0,2024-10-07 22:53:18
Kask,Arseneault,20.5,-133.0,20.5,-103.0,2024-10-07 22:53:19
Lindgren,Grubor,20.5,-118.0,20.5,-117.0,2024-10-07 22:53:19
Kang,Hilderbrand,32.5,-378.0,32.5,250.0,2024-10-07 22:53:19
butvilas,Bertola,18.5,-121.0,18.5,-116.0,2024-10-07 22:53:19
Wolf,Galarneau,24.5,-112.0,24.5,-120.0,2024-10-07 22:53:20
Kask,Arseneault,20.5,-133.0,20.5,-103.0,2024-10-07 22:53:20
Kang,Hilderbrand,32.5,-378.0,32.5,250.0,2024-10-07 22:53:20
butvilas,Bertola,18.5,-121.0,18.5,-116.0,2024-10-07 22:53:20
Wolf,Galarneau,24.5,-112.0,24.5,-120.0,2024-10-07 22:53:21
Kask,Arseneault,20.5,-139.0,20.5,101.0,2024-10-07 22:53:21
Kang,Hilderbrand,32.5,-378.0,32.5,250.0,2024-10-07 22:53:21
butvilas,Bertola,18.5,-121.0,18.5,-116.0,2024-10-07 22:53:21
Wolf,Galarneau,24.5,-112.0,24.5,-120.0,2024-10-07 22:53:22
Kask,Arseneault,20.5,-139.0,20.5,101.0,2024-10-07 22:53:22
Kang,Hilderbrand,32.5,-378.0,32.5,250.0,2024-10-07 22:53:22
butvilas,Bertola,18.5,-121.0,18.5,-116.0,2024-10-07 22:53:23
Wolf,Galarneau,24.5,-112.0,24.5,-120.0,2024-10-07 22:53:23
Kask,Arseneault,20.5,-139.0,20.5,101.0,2024-10-07 22:53:23
Lindgren,Grubor,20.5,-118.0,20.5,-117.0,2024-10-07 22:53:24
Kang,Hilderbrand,32.5,-345.0,32.5,227.0,2024-10-07 22:53:24
butvilas,Bertola,18.5,-121.0,18.5,-116.0,2024-10-07 22:53:24
Wolf,Galarneau,24.5,-112.0,24.5,-120.0,2024-10-07 22:53:24
Kask,Arseneault,20.5,-139.0,20.5,101.0,2024-10-07 22:53:25
Lindgren,Grubor,20.5,-118.0,20.5,-117.0,2024-10-07 22:53:25
Kang,Hilderbrand,32.5,-345.0,32.5,227.0,2024-10-07 22:53:25
butvilas,Bertola,18.5,-121.0,18.5,-116.0,2024-10-07 22:53:25
Wolf,Galarneau,24.5,-112.0,24.5,-120.0,2024-10-07 22:53:26
Kask,Arseneault,20.5,-139.0,20.5,101.0,2024-10-07 22:53:26
Kang,Hilderbrand,32.5,-345.0,32.5,227.0,2024-10-07 22:53:26
butvilas,Bertola,18.5,-121.0,18.5,-116.0,2024-10-07 22:53:27
Wolf,Galarneau,24.5,-112.0,24.5,-120.0,2024-10-07 22:53:27
Kask,Arseneault,20.5,-139.0,20.5,101.0,2024-10-07 22:53:27
Kang,Hilderbrand,32.5,-378.0,32.5,250.0,2024-10-07 22:53:28
butvilas,Bertola,18.5,-121.0,18.5,-116.0,2024-10-07 22:53:28
Wolf,Galarneau,24.5,-112.0,24.5,-120.0,2024-10-07 22:53:28
Kask,Arseneault,20.5,-139.0,20.5,101.0,2024-10-07 22:53:28
Lindgren,Grubor,20.5,-118.0,20.5,-117.0,2024-10-07 22:53:29
Kang,Hilderbrand,32.5,-378.0,32.5,250.0,2024-10-07 22:53:29
butvilas,Bertola,18.5,-121.0,18.5,-116.0,2024-10-07 22:53:29
Wolf,Galarneau,24.5,-112.0,24.5,-120.0,2024-10-07 22:53:29
Kask,Arseneault,20.5,-139.0,20.5,101.0,2024-10-07 22:53:30
Kawamura,Arseneault,20.5,-115.0,20.5,-119.0,2024-10-07 22:53:30
